EXPNUM,NOBJECTS,PFW_ATTEMPT_ID,EXPTIME,NITE
627679,13350.00000000,2507828,60.00000000,20170308
627684,9324.00000000,2507829,60.00000000,20170308
627689,12059.00000000,2507830,60.00000000,20170308
627699,10874.00000000,2508836,60.00000000,20170308
627714,8426.00000000,2507831,60.00000000,20170308
627719,13550.00000000,2507832,60.00000000,20170308
627724,6800.00000000,2507833,60.00000000,20170308
627729,6941.00000000,2507834,60.00000000,20170308
632235,7902.00000000,2506834,60.00000000,20170319
632245,8956.00000000,2507835,60.00000000,20170319
632255,5544.00000000,2507836,60.00000000,20170319
632265,4675.00000000,2507837,60.00000000,20170319
632276,11276.00000000,2506835,180.00000000,20170319
632279,11225.00000000,2507838,180.00000000,20170319
632282,11619.00000000,2508837,180.00000000,20170319
632285,11480.00000000,2506836,180.00000000,20170319
632288,12258.00000000,2507839,180.00000000,20170319
632291,11944.00000000,2506837,180.00000000,20170319
632294,12381.00000000,2507840,180.00000000,20170319
632297,12768.00000000,2506838,180.00000000,20170319
632300,12914.00000000,2507841,180.00000000,20170319
632303,12630.00000000,2507842,180.00000000,20170319
632306,12466.00000000,2507843,180.00000000,20170319
632309,13339.00000000,2507844,180.00000000,20170319
632312,12891.00000000,2508838,180.00000000,20170319
632315,13477.00000000,2506839,180.00000000,20170319
632318,13949.00000000,2508839,180.00000000,20170319
632321,14117.00000000,2508840,180.00000000,20170319
632324,13727.00000000,2507845,180.00000000,20170319
632327,13702.00000000,2507846,180.00000000,20170319
632337,5319.00000000,2507847,60.00000000,20170319
632343,7639.00000000,2506840,60.00000000,20170319
632506,7860.00000000,2506841,60.00000000,20170320
632513,6867.00000000,2506842,60.00000000,20170320
632519,4806.00000000,2507848,60.00000000,20170320
632525,4550.00000000,2508841,60.00000000,20170320
632536,10298.00000000,2508842,180.00000000,20170320
632539,10566.00000000,2508843,180.00000000,20170320
632542,11889.00000000,2507849,180.00000000,20170320
632545,11906.00000000,2508844,180.00000000,20170320
632548,12036.00000000,2508845,180.00000000,20170320
632551,12118.00000000,2506843,180.00000000,20170320
632554,11801.00000000,2506844,180.00000000,20170320
632557,11854.00000000,2508846,180.00000000,20170320
632560,12504.00000000,2506845,180.00000000,20170320
632563,12420.00000000,2506846,180.00000000,20170320
632566,12730.00000000,2507850,180.00000000,20170320
632569,12696.00000000,2508847,180.00000000,20170320
632572,13039.00000000,2507851,180.00000000,20170320
632575,13571.00000000,2506847,180.00000000,20170320
632578,13310.00000000,2506848,180.00000000,20170320
632581,13665.00000000,2507852,180.00000000,20170320
632584,13544.00000000,2506849,180.00000000,20170320
632587,13635.00000000,2506850,180.00000000,20170320
632589,14694.00000000,2507853,180.00000000,20170320
632592,14464.00000000,2507854,180.00000000,20170320
632595,14363.00000000,2506851,180.00000000,20170320
632603,5881.00000000,2508848,60.00000000,20170320
632691,5480.00000000,2507855,60.00000000,20170320
632697,22833.00000000,2506852,60.00000000,20170320
632827,8210.00000000,2506853,60.00000000,20170321
632833,5023.00000000,2506854,60.00000000,20170321
632839,4505.00000000,2508849,60.00000000,20170321
632860,11897.00000000,2508850,180.00000000,20170321
632863,11381.00000000,2508851,180.00000000,20170321
632866,12236.00000000,2508852,180.00000000,20170321
632869,11992.00000000,2508853,180.00000000,20170321
632872,12121.00000000,2508854,180.00000000,20170321
632875,12442.00000000,2508855,180.00000000,20170321
632878,13051.00000000,2506855,180.00000000,20170321
632881,13169.00000000,2507856,180.00000000,20170321
632884,13480.00000000,2506856,180.00000000,20170321
632887,13505.00000000,2507857,180.00000000,20170321
632890,13592.00000000,2507858,180.00000000,20170321
